7zip 25.01-1
sff 1.2-1
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:3.13.0-1
simple-scan 48.1-1
slang 2.3.3-4
slstatus 1.0-2
slurp 1.5.0-1
snappy 1.2.2-2
sof-firmware 2025.05.1-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spdlog 1.15.3-1
speedtest-cli 2.1.3-9
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.321.0-1
spotify-launcher 0.6.3-2
sqlite 3.50.4-1
sratom 0.6.18-1
srt 1.5.4-1
sshfs 3.7.3-3
startup-notification 0.12-9
strace 6.16-1
subversion 1.14.5-4
sudo 1.9.17.p1-1
suitesparse 7.11.0-1
svt-av1 3.1.2-1
sway 1:1.11-1
swaybg 1.2.1-1
system-config-printer 1.5.18-5
systemd 257.9-1
systemd-libs 257.9-1
systemd-resolvconf 257.9-1
systemd-sysvcompat 257.9-1
taglib 2.1.1-1
tar 1.35-2
tdb 1.4.14-1
telegram-desktop 6.1.3-1
tesseract 5.5.1-1
tesseract-data-osd 2:4.1.0-4
tesseract-data-rus 2:4.1.0-4
texinfo 7.2-1
tig 2.5.12-1
tinysparql 3.9.2-2
tllist 1.1.0-2
tmux 3.5_a-1
tpm2-tss 4.1.3-1
translate-shell 0.9.7.1-2
tree-sitter 0.25.9-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-liberation 2.1.5-2
ttf-ms-win11-auto 10.0.26100.1742-4
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-wps-fonts 2.0-1
tzdata 2025b-1
uchardet 0.0.8-3
udftools 2.3-2
udisks2 2.10.2-1
ugrep 7.5.0-1
ungoogled-chromium-bin 139.0.7258.154-1
unibilium 2.1.2-1
unrar 1:7.1.10-1
unzip 6.0-23
util-linux 2.41.1-1
util-linux-libs 2.41.1-1
v4l-utils 1.30.1-1
vapoursynth 72-1
verdict 1.4.4-1
vi 1:070224-6
vid.stab 1.1.1-2
vifm 0.14.3-2
vim 9.1.1734-1
vim-runtime 9.1.1734-1
vimiv 0.9.1-9
vmaf 3.0.0-1
volume_key 0.3.12-11
vulkan-headers 1:1.4.321.0-1
vulkan-icd-loader 1.4.321.0-1
w3m 0.5.3.git20230713_1-1
wavpack 5.8.1-1
wayland 1.24.0-1
wayland-protocols 1.45-1
webkit2gtk-4.1 2.48.6-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-2
which 2.23-1
wireguard-tools 1.0.20250521-1
wireplumber 0.5.11-1
wl-clipboard 1:2.2.1-3
wlr-randr 0.5.0-1
wlroots0.18 0.18.2-1
wlroots0.19 0.19.0-1
wmenu 0.2.0-1
woff2 1.0.2-6
woff2-font-awesome 7.0.1-1
wps-office-bin 12.1.2.22571-1
wps-office-mui-ru 11.2.0.9255-1
wxwidgets-common 3.2.8.1-2
wxwidgets-gtk3 3.2.8.1-2
x264 3:0.164.r3108.31e19f9-3
x265 4.1-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xdg-dbus-proxy 0.1.6-1
xdg-utils 1.2.1-1
xkeyboard-config 2.45-1
xmlsec 1.3.7-2
xorg-fonts-encodings 1.1.0-1
xorg-mkfontscale 1.2.3-1
xorg-server-common 21.1.18-2
xorg-setxkbmap 1.3.4-2
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.8-1
xorgproto 2024.1-2
xsane 0.999-7
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yajl 2.1.0-6
yyjson 0.12.0-1
zathura 0.5.12-1
zathura-pdf-mupdf 0.4.4-22
zenity 4.1.99-2
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zsh 5.9-5
zstd 1.5.7-2
zxing-cpp 2.3.0-5
